Date,Season,Sales,Price,Product_Name
2022-01-01,Winter,73880.19,84.47,Winter Jacket
2022-01-02,Winter,81303.84,92.99,Winter Jacket
2022-01-03,Winter,59507.88,87.59,Winter Jacket
2022-01-04,Winter,28827.17,90.95,Winter Jacket
2022-01-05,Winter,34357.73,87.49,Winter Jacket
2022-01-06,Winter,42665.44,82.1,Winter Jacket
2022-01-07,Winter,41968.81,86.43,Winter Jacket
2022-01-08,Winter,68170.0,96.39,Winter Jacket
2022-01-09,Winter,51764.97,97.42,Winter Jacket
2022-01-10,Winter,53386.68,97.95,Winter Jacket
2022-01-11,Winter,54858.47,82.81,Winter Jacket
2022-01-12,Winter,61844.64,89.5,Winter Jacket
2022-01-13,Winter,52380.67,94.94,Winter Jacket
2022-01-14,Winter,51297.69,88.8,Winter Jacket
2022-01-15,Winter,84978.18,97.98,Winter Jacket
2022-01-16,Winter,89880.76,89.1,Winter Jacket
2022-01-17,Winter,42882.95,96.32,Winter Jacket
2022-01-18,Winter,51810.36,95.41,Winter Jacket
2022-01-19,Winter,51544.91,81.51,Winter Jacket
2022-01-20,Winter,45320.11,91.18,Winter Jacket
2022-01-21,Winter,36898.97,88.41,Winter Jacket
2022-01-22,Winter,76519.75,91.98,Winter Jacket
2022-01-23,Winter,68112.43,98.06,Winter Jacket
2022-01-24,Winter,54966.26,86.43,Winter Jacket
2022-01-25,Winter,35310.02,85.86,Winter Jacket
2022-01-26,Winter,43200.96,81.24,Winter Jacket
2022-01-27,Winter,53077.18,93.28,Winter Jacket
2022-01-28,Winter,49512.98,83.74,Winter Jacket
2022-01-29,Winter,76180.18,82.23,Winter Jacket
2022-01-30,Winter,45591.21,82.5,Winter Jacket
2022-01-31,Winter,46598.45,98.24,Winter Jacket
2022-02-01,Winter,43288.89,83.9,Winter Jacket
2022-02-02,Winter,58595.55,89.48,Winter Jacket
2022-02-03,Winter,45396.05,82.92,Winter Jacket
2022-02-04,Winter,63246.61,95.64,Winter Jacket
2022-02-05,Winter,75950.54,88.67,Winter Jacket
2022-02-06,Winter,59922.12,94.45,Winter Jacket
2022-02-07,Winter,45853.11,85.08,Winter Jacket
2022-02-08,Winter,40970.04,85.72,Winter Jacket
2022-02-09,Winter,43221.8,81.27,Winter Jacket
2022-02-10,Winter,52432.5,81.02,Winter Jacket
2022-02-11,Winter,44262.94,97.41,Winter Jacket
2022-02-12,Winter,84352.14,91.35,Winter Jacket
2022-02-13,Winter,94664.0,95.2,Winter Jacket
2022-02-14,Winter,47006.29,95.05,Winter Jacket
2022-02-15,Winter,41203.92,97.82,Winter Jacket
2022-02-16,Winter,53427.67,86.1,Winter Jacket
2022-02-17,Winter,50318.33,84.35,Winter Jacket
2022-02-18,Winter,28939.21,82.9,Winter Jacket
2022-02-19,Winter,36475.94,91.1,Winter Jacket
2022-02-20,Winter,82380.33,90.87,Winter Jacket
2022-02-21,Winter,55432.48,82.83,Winter Jacket
2022-02-22,Winter,38996.37,98.85,Winter Jacket
2022-02-23,Winter,45743.49,93.35,Winter Jacket
2022-02-24,Winter,43851.88,92.4,Winter Jacket
2022-02-25,Winter,41653.82,88.68,Winter Jacket
2022-02-26,Winter,31177.31,94.1,Winter Jacket
2022-02-27,Winter,68661.77,98.17,Winter Jacket
2022-02-28,Winter,35241.7,97.07,Winter Jacket
2022-03-01,Spring,25015.29,90.1,Winter Jacket
2022-03-02,Spring,26078.66,93.41,Winter Jacket
2022-03-03,Spring,28616.48,98.35,Winter Jacket
2022-03-04,Spring,28978.03,96.59,Winter Jacket
2022-03-05,Spring,42568.01,91.51,Winter Jacket
2022-03-06,Spring,28125.96,87.77,Winter Jacket
2022-03-07,Spring,29039.66,96.68,Winter Jacket
2022-03-08,Spring,24428.26,84.39,Winter Jacket
2022-03-09,Spring,38519.8,85.45,Winter Jacket
2022-03-10,Spring,23419.41,88.25,Winter Jacket
2022-03-11,Spring,31773.39,91.69,Winter Jacket
2022-03-12,Spring,36374.5,81.31,Winter Jacket
2022-03-13,Spring,32567.52,97.63,Winter Jacket
2022-03-14,Spring,29946.28,93.42,Winter Jacket
2022-03-15,Spring,19745.75,98.1,Winter Jacket
2022-03-16,Spring,20801.59,98.85,Winter Jacket
2022-03-17,Spring,27388.86,82.46,Winter Jacket
2022-03-18,Spring,25364.71,94.88,Winter Jacket
2022-03-19,Spring,32847.96,82.46,Winter Jacket
2022-03-20,Spring,42408.13,84.32,Winter Jacket
2022-03-21,Spring,17863.35,98.63,Winter Jacket
2022-03-22,Spring,22781.38,81.02,Winter Jacket
2022-03-23,Spring,30619.27,84.1,Winter Jacket
2022-03-24,Spring,16888.28,81.18,Winter Jacket
2022-03-25,Spring,29250.44,86.55,Winter Jacket
2022-03-26,Spring,36466.31,89.37,Winter Jacket
2022-03-27,Spring,30325.14,89.87,Winter Jacket
2022-03-28,Spring,17513.77,88.99,Winter Jacket
2022-03-29,Spring,26982.85,82.48,Winter Jacket
2022-03-30,Spring,29690.13,81.46,Winter Jacket
2022-03-31,Spring,23475.68,84.87,Winter Jacket
2022-04-01,Spring,29727.8,93.2,Winter Jacket
2022-04-02,Spring,46313.8,82.34,Winter Jacket
2022-04-03,Spring,38653.32,88.73,Winter Jacket
2022-04-04,Spring,22017.22,95.73,Winter Jacket
2022-04-05,Spring,19026.71,89.69,Winter Jacket
2022-04-06,Spring,23151.82,98.61,Winter Jacket
2022-04-07,Spring,25330.99,93.59,Winter Jacket
2022-04-08,Spring,24810.4,82.87,Winter Jacket
2022-04-09,Spring,35213.75,83.19,Winter Jacket
2022-04-10,Spring,38261.27,96.96,Winter Jacket
2022-04-11,Spring,26992.25,95.36,Winter Jacket
2022-04-12,Spring,19724.96,97.92,Winter Jacket
2022-04-13,Spring,32713.57,92.12,Winter Jacket
2022-04-14,Spring,21933.9,91.34,Winter Jacket
